ID,Address,City,State,Zip
1,5035 Rancho Quinta Bnd,San Diego,CA,92130
2,5035 Ruette De Mer,San Diego,CA,92130
3,5035 Seashell Pl,San Diego,CA,92130
4,5035 Sterling Grove Ln,San Diego,CA,92130
5,5036 Ashley Falls Ct,San Diego,CA,92130
6,5036 Pearlman Way,San Diego,CA,92130
7,5036 Seachase St,San Diego,CA,92130
8,5036 Wellworth Pt,San Diego,CA,92130
9,5037 Seagrove Cv,San Diego,CA,92130
10,5037 Zimmer Cv,San Diego,CA,92130
11,5038 Brookburn Dr,San Diego,CA,92130
12,5038 Chelterham Ter,San Diego,CA,92130
13,10413 Abalone Landing Ter,San Diego,CA,92130
14,10416 Abalone Landing Ter,San Diego,CA,92130
15,10417 Abalone Landing Ter,San Diego,CA,92130
16,10421 Abalone Landing Ter,San Diego,CA,92130
17,10424 Abalone Landing Ter,San Diego,CA,92130
18,10425 Abalone Landing Ter,San Diego,CA,92130
19,10429 Abalone Landing Ter,San Diego,CA,92130
20,10432 Abalone Landing Ter,San Diego,CA,92130
21,10433 Abalone Landing Ter,San Diego,CA,92130
22,10437 Abalone Landing Ter,San Diego,CA,92130
23,10440 Abalone Landing Ter,San Diego,CA,92130
24,10441 Abalone Landing Ter,San Diego,CA,92130
25,10445 Abalone Landing Ter,San Diego,CA,92130
26,10448 Abalone Landing Ter,San Diego,CA,92130
27,10451 Abalone Landing Ter,San Diego,CA,92130
28,10456 Abalone Landing Ter,San Diego,CA,92130
29,10459 Abalone Landing Ter,San Diego,CA,92130
30,"10462 Gaylemont Ln, #64",San Diego,CA,92130
31,10464 Abalone Landing Ter,San Diego,CA,92130
32,10468 Gaylemont Ln,San Diego,CA,92130
33,10472 Abalone Landing Ter,San Diego,CA,92130
34,10472 Gaylemont Ln,San Diego,CA,92130
35,10476 Gaylemont Ln,San Diego,CA,92130
36,10480 Abalone Landing Ter,San Diego,CA,92130
37,10480 Gaylemont Ln,San Diego,CA,92130
38,10481 Abalone Landing Ter,San Diego,CA,92130
39,10484 Gaylemont Ln,San Diego,CA,92130
40,10488 Abalone Landing Ter,San Diego,CA,92130
41,10488 Gaylemont Ln,San Diego,CA,92130
42,10492 Gaylemont Ln,San Diego,CA,92130
43,10494 Abalone Landing Ter,San Diego,CA,92130
44,10495 Abalone Landing Ter,San Diego,CA,92130
45,10496 Gaylemont Ln,San Diego,CA,92130
46,10502 Gaylemont Ln,San Diego,CA,92130
47,10503 Abalone Landing Ter,San Diego,CA,92130
48,10504 Abalone Landing Ter,San Diego,CA,92130
49,10504 Corte Jardin Del Mar,San Diego,CA,92130
50,10504 Gaylemont Ln,San Diego,CA,92130
51,10504 Whispering Hills Ln,San Diego,CA,92130
52,10505 Corte Jardin Del Mar,San Diego,CA,92130
53,10505 Sand Crab Pl,San Diego,CA,92130
54,10505 Whispering Hills Ln,San Diego,CA,92130
55,10506 Sand Crab Pl,San Diego,CA,92130
56,10507 Abalone Landing Ter,San Diego,CA,92130
57,10507 Gaylemont Ln,San Diego,CA,92130
58,10508 Gaylemont Ln,San Diego,CA,92130
59,10509 Corte Jardin Del Mar,San Diego,CA,92130
60,10510 Abalone Landing Ter,San Diego,CA,92130
61,10510 Corte Jardin Del Mar,San Diego,CA,92130
62,10511 Abalone Landing Ter,San Diego,CA,92130
63,10511 Whispering Hills Ln,San Diego,CA,92130
64,10513 Corte Jardin Del Mar,San Diego,CA,92130
65,10513 Sand Crab Pl,San Diego,CA,92130
66,10514 Sand Crab Pl,San Diego,CA,92130
67,10515 Abalone Landing Ter,San Diego,CA,92130
68,10515 Gaylemont Ln,San Diego,CA,92130
69,10516 Abalone Landing Ter,San Diego,CA,92130
70,10516 Corte Jardin Del Mar,San Diego,CA,92130
71,10517 Corte Jardin Del Mar,San Diego,CA,92130
72,10517 Whispering Hills Ln,San Diego,CA,92130
73,10518 Whispering Hills Ln,San Diego,CA,92130
74,10521 Corte Jardin Del Mar,San Diego,CA,92130
75,10521 Gaylemont Ln,San Diego,CA,92130
76,10521 Sand Crab Pl,San Diego,CA,92130
77,10522 Corte Jardin Del Mar,San Diego,CA,92130
78,10522 Gaylemont Ln,San Diego,CA,92130
79,10522 Sand Crab Pl,San Diego,CA,92130
80,10523 Abalone Landing Ter,San Diego,CA,92130
81,10523 Whispering Hills Ln,San Diego,CA,92130
82,10524 Abalone Landing Ter,San Diego,CA,92130
83,10525 Corte Jardin Del Mar,San Diego,CA,92130
84,10525 Gaylemont Ln,San Diego,CA,92130
85,10526 Gaylemont Ln,San Diego,CA,92130
86,10528 Corte Jardin Del Mar,San Diego,CA,92130
87,10529 Corte Jardin Del Mar,San Diego,CA,92130
88,10529 Gaylemont Ln,San Diego,CA,92130
89,10529 Sand Crab Pl,San Diego,CA,92130
90,10529 Whispering Hills Ln,San Diego,CA,92130
91,10530 Gaylemont Ln,San Diego,CA,92130
92,10531 Abalone Landing Ter,San Diego,CA,92130
93,10532 Abalone Landing Ter,San Diego,CA,92130
94,10533 Corte Jardin Del Mar,San Diego,CA,92130
95,10533 Gaylemont Ln,San Diego,CA,92130
96,10533 Whispering Hills Ln,San Diego,CA,92130
97,10534 Corte Jardin Del Mar,San Diego,CA,92130
98,10534 Gaylemont Ln,San Diego,CA,92130
99,10537 Gaylemont Ln,San Diego,CA,92130
100,10537 Sand Crab Pl,San Diego,CA,92130
101,10538 Gaylemont Ln,San Diego,CA,92130
102,10539 Abalone Landing Ter,San Diego,CA,92130
103,10539 Corte Jardin Del Mar,San Diego,CA,92130
104,10540 Abalone Landing Ter,San Diego,CA,92130
105,10540 Corte Jardin Del Mar,San Diego,CA,92130
106,10541 Gaylemont Ln,San Diego,CA,92130
107,10541 Whispering Hills Ln,San Diego,CA,92130
108,10542 Gaylemont Ln,San Diego,CA,92130
109,10545 Abalone Landing Ter,San Diego,CA,92130
110,10545 Corte Jardin Del Mar,San Diego,CA,92130
111,10545 Gaylemont Ln,San Diego,CA,92130
112,10545 Sand Crab Pl,San Diego,CA,92130
113,10546 Abalone Landing Ter,San Diego,CA,92130
114,10546 Corte Jardin Del Mar,San Diego,CA,92130
115,10546 Gaylemont Ln,San Diego,CA,92130
116,10547 Whispering Hills Ln,San Diego,CA,92130
117,10549 Gaylemont Ln,San Diego,CA,92130
118,10550 Gaylemont Ln,San Diego,CA,92130
119,10551 Corte Jardin Del Mar,San Diego,CA,92130
120,10552 Corte Jardin Del Mar,San Diego,CA,92130
121,10553 Abalone Landing Ter,San Diego,CA,92130
122,10553 Gaylemont Ln,San Diego,CA,92130
123,10553 Sand Crab Pl,San Diego,CA,92130
124,10553 Whispering Hills Ln,San Diego,CA,92130
