"ID","Address","City","State","Zip"
1683219,"12838 Digger Ln","Menifee","CA","92585"
1714888,"23 Merrick Ln","Menifee","CA","92584"
1716385,"23385 Cooper View Dr","Menifee","CA","92587"
1716589,"23423 Gunther Rd","Menifee","CA","92585"
1716844,"23485 Gunther Rd","Menifee","CA","92585"
1716862,"23489 Mapes Rd","Menifee","CA","92585"
1716898,"23497 Pico Ave","Menifee","CA","92585"
1717301,"23560 Gunther Rd","Menifee","CA","92585"
1717664,"23625 Gunther Rd","Menifee","CA","92585"
1717872,"23656 Gunther Rd","Menifee","CA","92585"
1718029,"23683 Pico Ave","Menifee","CA","92585"
1718095,"23698 Black Canyon Dr","Menifee","CA","92587"
1718418,"23750 Palomar Rd","Menifee","CA","92585"
1718836,"23805 Gunther Rd","Menifee","CA","92585"
1719388,"23885 Gunther Rd","Menifee","CA","92585"
1719844,"23982 Kerrigan Dr","Menifee","CA","92587"
1719884,"23994 Kerrigan Dr","Menifee","CA","92587"
1719990,"24006 Kerrigan Dr","Menifee","CA","92587"
1720039,"24012 Juanita Dr","Menifee","CA","92587"
1720078,"24018 Kerrigan Dr","Menifee","CA","92587"
1720102,"24020 Buckstone Ln","Menifee","CA","92584"
1720108,"24020 Gunther Rd","Menifee","CA","92585"
1720126,"24023 Dusty Trail Way","Menifee","CA","92587"
1720128,"24023 Gunther Rd","Menifee","CA","92585"
1720178,"24029 Pico Ave","Menifee","CA","92585"
1720196,"24030 Kerrigan Dr","Menifee","CA","92587"
1720203,"24031 Kerrigan Dr","Menifee","CA","92587"
1720220,"24033 Pico Ave","Menifee","CA","92585"
1720222,"24034 Buckstone Ln","Menifee","CA","92584"
1720228,"24035 Dusty Trail Way","Menifee","CA","92587"
1720282,"24040 Gunther Rd","Menifee","CA","92585"
1720292,"24042 Kerrigan Dr","Menifee","CA","92587"
1720300,"24043 Kerrigan Dr","Menifee","CA","92587"
1720305,"24044 Deputy Way","Menifee","CA","92584"
1720310,"24044 Timber Farm Dr","Menifee","CA","92587"
1720328,"24047 Deputy Way","Menifee","CA","92584"
1720337,"24048 Buckstone Ln","Menifee","CA","92584"
1720405,"24056 Timber Farm Dr","Menifee","CA","92587"
1720413,"24058 Deputy Way","Menifee","CA","92584"
1720440,"24061 Deputy Way","Menifee","CA","92584"
1720446,"24062 Buckstone Ln","Menifee","CA","92584"
1720491,"24067 Kerrigan Dr","Menifee","CA","92587"
1720500,"24068 Timber Farm Dr","Menifee","CA","92587"
1720530,"24072 Deputy Way","Menifee","CA","92584"
1720547,"24075 Deputy Way","Menifee","CA","92584"
1720553,"24076 Buckstone Ln","Menifee","CA","92584"
1720571,"24078 Kerrigan Dr","Menifee","CA","92587"
1720579,"24079 Kerrigan Dr","Menifee","CA","92587"
1720626,"24083 Dusty Trail Way","Menifee","CA","92587"
1720646,"24086 Deputy Way","Menifee","CA","92584"
1720669,"24089 Deputy Way","Menifee","CA","92584"
1720685,"24090 Buckstone Ln","Menifee","CA","92584"
1720687,"24090 Gunther Rd","Menifee","CA","92585"
1720688,"24090 Kerrigan Dr","Menifee","CA","92587"
1720721,"24095 Dusty Trail Way","Menifee","CA","92587"
