"ID","Address","City","State","Zip"
10,"5035 Rockford Dr","San Diego","CA","92115"
12,"5035 San Aquario Dr","San Diego","CA","92109"
18,"5035 W Point Loma Blvd","San Diego","CA","92107"
19,"5036 68th St","San Diego","CA","92115"
21,"5036 Art St","San Diego","CA","92115"
26,"5036 College Gardens Ct","San Diego","CA","92115"
28,"5036 Litchfield Rd","San Diego","CA","92116"
29,"5036 Mansfield St","San Diego","CA","92116"
30,"5036 Marlborough Dr","San Diego","CA","92116"
40,"5036 Tierra Baja Way","San Diego","CA","92115"
399,"5037 Cape May Ave","San Diego","CA","92107"
400,"5037 Cliff Pl","San Diego","CA","92116"
402,"5037 Faber Way","San Diego","CA","92115"
405,"5037 Hastings Rd","San Diego","CA","92116"
406,"5037 Hawley Blvd","San Diego","CA","92116"
415,"5037 Santa Monica Ave","San Diego","CA","92107"
430,"5038 Canterbury Dr","San Diego","CA","92116"
433,"5038 Chaparral Way","San Diego","CA","92115"
48145,"1000 W Brookes Ave","San Diego","CA","92103"
48194,"1001 Bangor St","San Diego","CA","92106"
48197,"1001 Catalina Blvd","San Diego","CA","92107"
48199,"1001 Devonshire Dr","San Diego","CA","92107"
48202,"1001 Manor Way","San Diego","CA","92106"
48211,"1001 Tarento Dr","San Diego","CA","92107"
48276,"1002 Alberta Pl","San Diego","CA","92103"
48279,"1002 Bush St","San Diego","CA","92103"
48284,"1002 Essex St","San Diego","CA","92103"
48288,"1002 Johnson Ave","San Diego","CA","92103"
48291,"1002 Leroy St","San Diego","CA","92106"
48293,"1002 Moana Dr","San Diego","CA","92107"
48301,"1002 Santa Barbara St","San Diego","CA","92107"
48308,"1002 Sutter St","San Diego","CA","92103"
48312,"1002 W Brookes Ave","San Diego","CA","92103"
48380,"1003 Alberta Pl","San Diego","CA","92103"
48383,"1003 Catalina Blvd","San Diego","CA","92107"
48386,"1003 Hayes Ave","San Diego","CA","92103"
48387,"1003 Hunter St","San Diego","CA","92103"
48388,"1003 Johnson Ave","San Diego","CA","92103"
48392,"1003 Manor Way","San Diego","CA","92106"
48393,"1003 Moana Dr","San Diego","CA","92107"
48402,"1003 W Brookes Ave","San Diego","CA","92103"
48486,"1004 24th St","San Diego","CA","92102"
48495,"1004 Cornish Dr","San Diego","CA","92107"
48498,"1004 Madison Ave","San Diego","CA","92116"
48509,"1004 W Montecito Way","San Diego","CA","92103"
48510,"1004 W Walnut Ave","San Diego","CA","92103"
48585,"1005 Alexandria Dr","San Diego","CA","92107"
48592,"1005 Concord St","San Diego","CA","92106"
48593,"1005 Cornish Dr","San Diego","CA","92107"
48606,"1005 Novara St","San Diego","CA","92107"
48616,"1005 W University Ave","San Diego","CA","92103"
48691,"1006 Evergreen St","San Diego","CA","92106"
48696,"1006 Johnson Ave","San Diego","CA","92103"
48710,"1006 Tarento Dr","San Diego","CA","92107"
48781,"1007 Cordova St","San Diego","CA","92107"
48874,"1008 Cypress Ave","San Diego","CA","92103"
48875,"1008 Edgemont Pl","San Diego","CA","92102"
48883,"1008 Santa Barbara St","San Diego","CA","92107"
48955,"1009 Alexandria Dr","San Diego","CA","92107"
