"ID","Address","City","State","Zip"
12,"5035 San Aquario Dr","San Diego","CA","92109"
13,"5035 San Joaquin Dr","San Diego","CA","92109"
17,"5035 Surfside Dr","San Diego","CA","92154"
34,"5036 Pacifica Dr","San Diego","CA","92109"
36,"5036 San Aquario Dr","San Diego","CA","92109"
37,"5036 San Joaquin Dr","San Diego","CA","92109"
39,"5036 Starfish Way","San Diego","CA","92154"
401,"5037 Crescent Bay Dr","San Diego","CA","92154"
411,"5037 Pacifica Dr","San Diego","CA","92109"
414,"5037 Randall St","San Diego","CA","92109"
418,"5037 Sea Drift Way","San Diego","CA","92154"
420,"5037 Starfish Way","San Diego","CA","92154"
48295,"1002 Pacific Beach Dr","San Diego","CA","92109"
48296,"1002 Rolling Dunes Way","San Diego","CA","92154"
48311,"1002 W Briarfield Dr","San Diego","CA","92109"
48503,"1004 Sea Glass Way","San Diego","CA","92154"
48505,"1004 Sunset Crossing Pt","San Diego","CA","92154"
48608,"1005 Sea Glass Way","San Diego","CA","92154"
48615,"1005 W Briarfield Dr","San Diego","CA","92109"
48680,"1006 18th St","San Diego","CA","92154"
48700,"1006 Oliver Ave","San Diego","CA","92109"
48707,"1006 Sea Reef Dr","San Diego","CA","92154"
48789,"1007 Sea Reef Dr","San Diego","CA","92154"
48790,"1007 Van Nuys St","San Diego","CA","92109"
48887,"1008 W Briarfield Dr","San Diego","CA","92109"
48985,"1009 Thermal Ave","San Diego","CA","92154"
49101,"1010 Beryl St","San Diego","CA","92109"
49124,"1010 Rolling Dunes Way","San Diego","CA","92154"
49129,"1010 Sunset Crossing Pt","San Diego","CA","92154"
49195,"1011 Archer St","San Diego","CA","92109"
49211,"1011 Oliver Ave","San Diego","CA","92109"
49213,"1011 Parsons Lndg","San Diego","CA","92154"
49215,"1011 Reed Ave","San Diego","CA","92109"
49223,"1011 W Briarfield Dr","San Diego","CA","92109"
49311,"1012 Archer St","San Diego","CA","92109"
49313,"1012 Beryl St","San Diego","CA","92109"
49330,"1012 Pacific Beach Dr","San Diego","CA","92109"
49334,"1012 Sea Reef Dr","San Diego","CA","92154"
49341,"1012 W Briarfield Dr","San Diego","CA","92109"
49435,"1013 Sea Reef Dr","San Diego","CA","92154"
49502,"1014 Beryl St","San Diego","CA","92109"
49602,"1015 Archer St","San Diego","CA","92109"
49633,"1015 Swaying Palms Way","San Diego","CA","92154"
49639,"1015 Wilbur Ave","San Diego","CA","92109"
49739,"1016 Beryl St","San Diego","CA","92109"
49756,"1016 Sunset Crossing Pt","San Diego","CA","92154"
49761,"1016 W Briarfield Dr","San Diego","CA","92109"
49876,"1017 Parsons Lndg","San Diego","CA","92154"
49887,"1017 Van Nuys St","San Diego","CA","92109"
49995,"1018 Beryl St","San Diego","CA","92109"
50013,"1018 Sea Reef Dr","San Diego","CA","92154"
50131,"1019 Oliver Ave","San Diego","CA","92109"
50141,"1019 W Briarfield Dr","San Diego","CA","92109"
50277,"1020 Archer St","San Diego","CA","92109"
50301,"1020 Pacific Beach Dr","San Diego","CA","92109"
50312,"1020 Tourmaline St","San Diego","CA","92109"
50318,"1020 W Briarfield Dr","San Diego","CA","92109"
50425,"1021 Archer St","San Diego","CA","92109"
50427,"1021 Beryl St","San Diego","CA","92109"
50443,"1021 Law St","San Diego","CA","92109"
50451,"1021 Reed Ave","San Diego","CA","92109"
50456,"1021 Sea Reef Dr","San Diego","CA","92154"
50595,"1022 18th St","San Diego","CA","92154"
50611,"1022 Sea Glass Way","San Diego","CA","92154"
50615,"1022 Sunset Crossing Pt","San Diego","CA","92154"
50619,"1022 Van Nuys St","San Diego","CA","92109"
50917,"1024 Oliver Ave","San Diego","CA","92109"
51071,"1025 Pacific Beach Dr","San Diego","CA","92109"
51074,"1025 Rolling Dunes Way","San Diego","CA","92154"
51088,"1025 Wilbur Ave","San Diego","CA","92109"
51241,"1026 Rolling Dunes Way","San Diego","CA","92154"
51247,"1026 Sea Reef Dr","San Diego","CA","92154"
51387,"1027 Hornblend St","San Diego","CA","92109"
51392,"1027 Oliver Ave","San Diego","CA","92109"
51395,"1027 Reed Ave","San Diego","CA","92109"
51396,"1027 Sea Reef Dr","San Diego","CA","92154"
51398,"1027 Van Nuys St","San Diego","CA","92109"
51516,"1028 Archer St","San Diego","CA","92109"
51530,"1028 Pacific Beach Dr","San Diego","CA","92109"
51537,"1028 Van Nuys St","San Diego","CA","92109"
51647,"1029 Archer St","San Diego","CA","92109"
51669,"1029 Parsons Lndg","San Diego","CA","92154"
51852,"1030 Tourmaline St","San Diego","CA","92109"
51940,"1031 Sunset Crossing Pt","San Diego","CA","92154"
51942,"1031 W Briarfield Dr","San Diego","CA","92109"
52052,"1032 Sea Reef Dr","San Diego","CA","92154"
52055,"1032 Sunset Crossing Pt","San Diego","CA","92154"
52058,"1032 Tourmaline St","San Diego","CA","92109"
52392,"1035 Archer St","San Diego","CA","92109"
52406,"1035 Oliver Ave","San Diego","CA","92109"
52408,"1035 Parsons Lndg","San Diego","CA","92154"
52410,"1035 Reed Ave","San Diego","CA","92109"
52418,"1035 Thermal Ave","San Diego","CA","92154"
52537,"1036 Grand Ave","San Diego","CA","92109"
52545,"1036 Oliver Ave","San Diego","CA","92109"
52546,"1036 Pacific Beach Dr","San Diego","CA","92109"
52670,"1037 Sunset Crossing Pt","San Diego","CA","92154"
