"ID","Address","City","State","Zip"
48147,"10001 Kika Ct","San Diego","CA","92129"
48148,"10002 Canright Way","San Diego","CA","92126"
48154,"10002 Waldgrove Pl","San Diego","CA","92131"
48155,"10003 Avenida Magnifica","San Diego","CA","92131"
48156,"10003 Baffin Dr","San Diego","CA","92126"
48157,"10003 Kibler Dr","San Diego","CA","92126"
48158,"10003 Kika Ct","San Diego","CA","92129"
48159,"10003 Parkdale Ave","San Diego","CA","92126"
48160,"10003 Waldgrove Pl","San Diego","CA","92131"
48161,"10004 Connell Rd","San Diego","CA","92131"
48163,"10004 Kibler Dr","San Diego","CA","92126"
48164,"10004 Parkdale Ave","San Diego","CA","92126"
48166,"10005 Aviary Dr","San Diego","CA","92131"
48167,"10005 Branford Rd","San Diego","CA","92129"
48168,"10005 Canright Way","San Diego","CA","92126"
48169,"10005 Connell Rd","San Diego","CA","92131"
48170,"10005 Dauntless St","San Diego","CA","92126"
48171,"10005 Kika Ct","San Diego","CA","92129"
48172,"10005 Northrup Pt","San Diego","CA","92126"
48174,"10005 Scripps Ranch Blvd","San Diego","CA","92131"
48175,"10006 Baffin Dr","San Diego","CA","92126"
48176,"10006 Osgood Way","San Diego","CA","92126"
48177,"10007 Kika Ct","San Diego","CA","92129"
48178,"10007 Osgood Way","San Diego","CA","92126"
48179,"10007 Riverhead Dr","San Diego","CA","92129"
48181,"10007 Wildlife Rd","San Diego","CA","92131"
48182,"10007 Winecrest Rd","San Diego","CA","92127"
48184,"10008 Branford Rd","San Diego","CA","92129"
48185,"10008 Kaufman Way","San Diego","CA","92126"
48187,"10008 Winecrest Rd","San Diego","CA","92127"
48188,"10009 Kaufman Way","San Diego","CA","92126"
48189,"10009 Kika Ct","San Diego","CA","92129"
48190,"10009 Mesa Madera Dr","San Diego","CA","92131"
48191,"10009 Zapata Ave","San Diego","CA","92126"
48214,"10010 Dauntless St","San Diego","CA","92126"
48216,"10010 Vista La Cuesta Ct","San Diego","CA","92131"
48217,"10010 Waldgrove Pl","San Diego","CA","92131"
48219,"10011 Avenida Magnifica","San Diego","CA","92131"
48220,"10011 Baffin Dr","San Diego","CA","92126"
48223,"10011 Kika Ct","San Diego","CA","92129"
48225,"10011 Scripps Ranch Blvd","San Diego","CA","92131"
48226,"10011 Sheba Way","San Diego","CA","92129"
48227,"10011 Vista La Cuesta Ct","San Diego","CA","92131"
48230,"10012 Branford Rd","San Diego","CA","92129"
48231,"10012 Canright Way","San Diego","CA","92126"
48232,"10012 Connell Rd","San Diego","CA","92131"
48237,"10013 Connell Rd","San Diego","CA","92131"
48238,"10013 Kibler Dr","San Diego","CA","92126"
48239,"10013 Kika Ct","San Diego","CA","92129"
48240,"10013 Parkdale Ave","San Diego","CA","92126"
48241,"10013 Riverhead Dr","San Diego","CA","92129"
48243,"10014 Kibler Dr","San Diego","CA","92126"
48244,"10014 Osgood Way","San Diego","CA","92126"
48245,"10014 Parkdale Ave","San Diego","CA","92126"
48246,"10015 Branford Rd","San Diego","CA","92129"
48247,"10015 Canright Way","San Diego","CA","92126"
48248,"10015 Dauntless St","San Diego","CA","92126"
48249,"10015 Kika Ct","San Diego","CA","92129"
48251,"10015 Rue Chantemar","San Diego","CA","92131"
48253,"10015 Waldgrove Pl","San Diego","CA","92131"
48254,"10015 Wildlife Rd","San Diego","CA","92131"
48256,"10016 Baffin Dr","San Diego","CA","92126"
48257,"10016 Branford Rd","San Diego","CA","92129"
48259,"10017 Kika Ct","San Diego","CA","92129"
48260,"10017 Mesa Madera Dr","San Diego","CA","92131"
48261,"10017 Osgood Way","San Diego","CA","92126"
48262,"10017 Zapata Ave","San Diego","CA","92126"
48263,"10018 Knight Dr","San Diego","CA","92126"
48264,"10018 Mesa Madera Dr","San Diego","CA","92131"
48265,"10018 Riverhead Dr","San Diego","CA","92129"
48266,"10018 Via La Cantera","San Diego","CA","92129"
48268,"10019 Avenida Magnifica","San Diego","CA","92131"
48269,"10019 Baffin Dr","San Diego","CA","92126"
48270,"10019 Kika Ct","San Diego","CA","92129"
48271,"10019 Knight Dr","San Diego","CA","92126"
48273,"10019 Riverhead Dr","San Diego","CA","92129"
48274,"10019 Winecrest Rd","San Diego","CA","92127"
48313,"10020 Branford Rd","San Diego","CA","92129"
48314,"10020 Connell Rd","San Diego","CA","92131"
48315,"10020 Dauntless St","San Diego","CA","92126"
48316,"10020 Northrup Pt","San Diego","CA","92126"
48317,"10020 Rue Chantemar","San Diego","CA","92131"
48318,"10020 Treehaven Ct","San Diego","CA","92131"
48319,"10020 Vista La Cuesta Ct","San Diego","CA","92131"
48320,"10020 Waldgrove Pl","San Diego","CA","92131"
48321,"10020 Wildlife Rd","San Diego","CA","92131"
48322,"10020 Winecrest Rd","San Diego","CA","92127"
48324,"10021 Connell Rd","San Diego","CA","92131"
48326,"10021 Kika Ct","San Diego","CA","92129"
48328,"10021 Vista La Cuesta Ct","San Diego","CA","92131"
48329,"10021 Waldgrove Pl","San Diego","CA","92131"
48332,"10022 Canright Way","San Diego","CA","92126"
48341,"10023 Aviary Dr","San Diego","CA","92131"
48342,"10023 Kika Ct","San Diego","CA","92129"
48343,"10023 Parkdale Ave","San Diego","CA","92126"
48344,"10023 Wildlife Rd","San Diego","CA","92131"
48346,"10024 Branford Rd","San Diego","CA","92129"
48348,"10024 Kibler Dr","San Diego","CA","92126"
48349,"10024 Osgood Way","San Diego","CA","92126"
48350,"10024 Parkdale Ave","San Diego","CA","92126"
